time,equity,relative_return,volatility,underwater,max_drawdown,sharpe_ratio,mean_return,bias,instruments,avg_turnover,avg_holding_time
2014-01-01,,,,,,,,0.0,0.0,,
2014-01-02,,,,,,,,0.0,0.0,,
2014-01-03,,,,,,,,0.0,0.0,,
2014-01-04,,,,,,,,0.0,0.0,,
2014-01-05,,,,,,,,0.0,0.0,,
2014-01-06,,,,,,,,0.0,0.0,,
2014-01-07,,,,,,,,0.0,0.0,,
2014-01-08,,,,,,,,0.0,0.0,,
2014-01-09,,,,,,,,0.0,0.0,,
2014-01-10,,,,,,,,0.0,0.0,,
2014-01-11,,,,,,,,0.0,0.0,,
2014-01-12,,,,,,,,0.0,0.0,,
2014-01-13,,,,,,,,0.0,0.0,,
2014-01-14,,,,,,,,0.0,0.0,,
2014-01-15,,,,,,,,0.0,0.0,,
2014-01-16,,,,,,,,0.0,0.0,,
2014-01-17,,,,,,,,0.0,0.0,,
2014-01-18,,,,,,,,0.0,0.0,,
2014-01-19,,,,,,,,0.0,0.0,,
2014-01-20,,,,,,,,0.0,0.0,,
2014-01-21,,,,,,,,0.0,0.0,,
2014-01-22,,,,,,,,0.0,0.0,,
2014-01-23,,,,,,,,0.0,0.0,,
2014-01-24,,,,,,,,0.0,0.0,,
2014-01-25,,,,,,,,0.0,0.0,,
2014-01-26,,,,,,,,0.0,0.0,,
2014-01-27,,,,,,,,0.0,0.0,,
2014-01-28,,,,,,,,0.0,0.0,,
2014-01-29,,,,,,,,0.0,0.0,,
2014-01-30,,,,,,,,0.0,0.0,,
2014-01-31,,,,,,,,0.0,0.0,,
2014-02-01,,,,,,,,0.0,0.0,,
2014-02-02,,,,,,,,0.0,0.0,,
2014-02-03,,,,,,,,0.0,0.0,,
2014-02-04,,,,,,,,0.0,0.0,,
2014-02-05,,,,,,,,0.0,0.0,,
2014-02-06,,,,,,,,0.0,0.0,,
2014-02-07,,,,,,,,0.0,0.0,,
2014-02-08,,,,,,,,0.0,0.0,,
2014-02-09,,,,,,,,0.0,0.0,,
2014-02-10,,,,,,,,0.0,0.0,,
2014-02-11,,,,,,,,0.0,0.0,,
2014-02-12,,,,,,,,0.0,0.0,,
2014-02-13,,,,,,,,0.0,0.0,,
2014-02-14,,,,,,,,0.0,0.0,,
2014-02-15,,,,,,,,0.0,0.0,,
2014-02-16,,,,,,,,0.0,0.0,,
2014-02-17,,,,,,,,0.0,0.0,,
2014-02-18,,,,,,,,0.0,0.0,,
2014-02-19,,,,,,,,0.0,0.0,,
2014-02-20,,,,,,,,0.0,0.0,,
2014-02-21,,,,,,,,0.0,0.0,,
2014-02-22,,,,,,,,0.0,0.0,,
2014-02-23,,,,,,,,0.0,0.0,,
2014-02-24,,,,,,,,0.0,0.0,,
2014-02-25,,,,,,,,0.0,0.0,,
2014-02-26,,,,,,,,0.0,0.0,,
2014-02-27,,,,,,,,0.0,0.0,,
2014-02-28,,,,,,,,0.0,0.0,,
2014-03-01,,,,,,,,0.0,0.0,,
2014-03-02,,,,,,,,0.0,0.0,,
2014-03-03,,,,,,,,0.0,0.0,,
2014-03-04,,,,,,,,0.0,0.0,,
2014-03-05,,,,,,,,0.0,0.0,,
2014-03-06,,,,,,,,0.0,0.0,,
2014-03-07,,,,,,,,0.0,0.0,,
2014-03-08,,,,,,,,0.0,0.0,,
2014-03-09,,,,,,,,0.0,0.0,,
2014-03-10,,,,,,,,0.0,0.0,,
2014-03-11,,,,,,,,0.0,0.0,,
2014-03-12,,,,,,,,0.0,0.0,,
2014-03-13,,,,,,,,0.0,0.0,,
